SID,CID,SCORE,TID
200900132417,300031,65.0,100000
200900132418,300024,63.0,100024
200900132419,300015,73.0,100015
200900132420,300040,60.0,100009
200900132421,300022,79.0,100022
200900132422,300034,57.0,100003
200900132423,300022,93.0,100022
200900132424,300003,67.0,100003
200900132425,300021,52.0,100021
200900132426,300030,86.0,100030
200900132428,300026,71.0,100026
200900132429,300026,90.0,100026
200900132431,300011,99.0,100011
200900132433,300002,83.0,100002
200900132434,300015,88.0,100015
200900132435,300017,97.0,100017
200900132436,300032,88.0,100001
200900132437,300010,82.0,100010
200900132438,300015,94.0,100015
200900132439,300035,83.0,100004
200900132440,300021,51.0,100021
200900132441,300026,92.0,100026
200900132442,300024,66.0,100024
200900132444,300004,94.0,100004
200900132445,300004,53.0,100004
200900132446,300021,66.0,100021
200900132448,300008,88.0,100008
200900132449,300017,53.0,100017
200900132450,300023,54.0,100023
200900132451,300005,69.0,100005
200900132452,300015,60.0,100015
200900132453,300022,95.0,100022
200900132454,300019,72.0,100019
200900132455,300031,90.0,100000
200900132456,300028,100.0,100028
200900132457,300030,87.0,100030
200900132458,300033,84.0,100002
200900132459,300026,78.0,100026
200900132460,300008,72.0,100008
200900132461,300009,96.0,100009
200900132462,300021,65.0,100021
200900132463,300010,59.0,100010
200900132464,300033,51.0,100002
200900132465,300031,83.0,100000
200900132466,300038,73.0,100007
200900132467,300011,96.0,100011
200900132468,300025,85.0,100025
200900132469,300017,76.0,100017
200900132470,300005,95.0,100005
200900132471,300006,73.0,100006
200900132472,300039,56.0,100008
200900132473,300030,53.0,100030
200900132474,300005,82.0,100005
200900132475,300027,98.0,100027
200900132477,300018,100.0,100018
200900132478,300021,65.0,100021
200900132479,300015,91.0,100015
200900132496,300022,58.0,100022
200900132497,300007,76.0,100007
200900132498,300026,76.0,100026
200900132499,300017,64.0,100017
200900132500,300039,82.0,100008
200900132501,300011,89.0,100011
200900132502,300030,84.0,100030
200900132503,300014,87.0,100014
200900132504,300015,53.0,100015
200900132505,300025,52.0,100025
200900132506,300017,84.0,100017
200900132507,300002,73.0,100002
200900132508,300019,71.0,100019
200900132509,300001,87.0,100001
200900132510,300035,88.0,100004
200900132511,300010,93.0,100010
200900132513,300023,100.0,100023
200900132514,300008,65.0,100008
200900132515,300024,75.0,100024
200900132516,300024,62.0,100024
200900132517,300036,53.0,100005
200900132518,300012,69.0,100012
200900132519,300031,67.0,100000
200900132520,300019,71.0,100019
200900132521,300007,97.0,100007
200900132522,300040,71.0,100009
200900132523,300027,65.0,100027
200900132524,300039,51.0,100008
200900132525,300003,73.0,100003
200900132526,300007,63.0,100007
200900132527,300012,50.0,100012
200900132528,300010,85.0,100010
200900132529,300039,80.0,100008
200900132530,300004,74.0,100004
200900132531,300035,70.0,100004
200900132532,300004,80.0,100004
200900132533,300034,94.0,100003
200900132534,300002,70.0,100002
200900132535,300028,89.0,100028
200900132536,300017,51.0,100017
200900132537,300034,54.0,100003
200900132538,300009,81.0,100009
200900132539,300017,65.0,100017
200900132540,300027,52.0,100027
200900132541,300010,97.0,100010
200900132542,300010,77.0,100010
200900132543,300009,53.0,100009
200900132544,300014,98.0,100014
200900132545,300038,53.0,100007
200900132546,300025,97.0,100025
200900132547,300024,90.0,100024
200900132548,300005,59.0,100005
200900132549,300013,83.0,100013
200900132550,300010,71.0,100010
200900132551,300015,96.0,100015
200900132552,300013,71.0,100013
200900132553,300008,91.0,100008
200900132554,300014,75.0,100014
200900132555,300015,78.0,100015
200900132556,300002,60.0,100002
200900132557,300038,59.0,100007
200900132558,300008,93.0,100008
200900132559,300027,89.0,100027
200900132560,300001,91.0,100001
200900132561,300024,78.0,100024
200900132562,300032,91.0,100001
200900132563,300003,59.0,100003
200900132564,300028,96.0,100028
200900132565,300004,82.0,100004
200900132566,300022,96.0,100022
200900132567,300010,65.0,100010
200900132568,300011,87.0,100011
200900132569,300030,56.0,100030
200900132570,300013,76.0,100013
200900132571,300011,100.0,100011
200900132572,300022,98.0,100022
200900132573,300015,53.0,100015
200900132574,300035,95.0,100004
200900132575,300040,64.0,100009
200900132576,300040,50.0,100009
200900132577,300004,76.0,100004
200900132578,300003,57.0,100003
200900132579,300034,94.0,100003
200900132580,300009,94.0,100009
200900132581,300030,66.0,100030
200900132582,300005,94.0,100005
200900132583,300032,87.0,100001
200900132584,300017,70.0,100017
200900132585,300006,91.0,100006
200900132586,300029,58.0,100029
200900132587,300002,88.0,100002
200900132588,300031,58.0,100000
200900132589,300013,51.0,100013
200900132590,300040,50.0,100009
200900132591,300013,54.0,100013
200900132592,300002,80.0,100002
200900132593,300024,66.0,100024
200900132594,300002,63.0,100002
200900132595,300019,89.0,100019
200900132596,300033,85.0,100002
200900132597,300030,79.0,100030
200900132598,300030,92.0,100030
200900132599,300011,52.0,100011
200900132600,300035,60.0,100004
200900132601,300027,100.0,100027
200900132602,300007,79.0,100007
200900132603,300019,89.0,100019
200900132604,300015,91.0,100015
200900132605,300001,81.0,100001
200900132606,300026,86.0,100026
200900132607,300008,57.0,100008
200900132608,300019,81.0,100019
200900132609,300005,69.0,100005
200900132610,300010,75.0,100010
200900132611,300039,60.0,100008
200900132613,300040,85.0,100009
200900132614,300031,91.0,100000
200900132615,300029,94.0,100029
200900132616,300007,52.0,100007
200900132617,300032,88.0,100001
200900132618,300040,65.0,100009
200900132619,300016,66.0,100016
200900132620,300028,94.0,100028
200900132621,300002,79.0,100002
200900132622,300034,73.0,100003
200900132623,300021,98.0,100021
200900132624,300013,66.0,100013
200900132625,300036,95.0,100005
200900132626,300040,79.0,100009
200900132627,300018,91.0,100018
200900132628,300033,51.0,100002
200900132629,300004,62.0,100004
200900132630,300021,99.0,100021
200900132631,300018,74.0,100018
200900132632,300033,93.0,100002
200900132633,300008,97.0,100008
200900132634,300003,83.0,100003
200900132635,300027,82.0,100027
200900132636,300026,60.0,100026
200900132637,300025,56.0,100025
200900132638,300003,73.0,100003
200900132639,300013,67.0,100013
200900132640,300034,94.0,100003
200900132641,300014,69.0,100014
200900132642,300011,65.0,100011
200900132643,300040,56.0,100009
200900132644,300014,50.0,100014
200900132645,300032,58.0,100001
200900132646,300008,68.0,100008
200900132647,300013,83.0,100013
200900132648,300005,88.0,100005
200900132649,300012,95.0,100012
200900132650,300007,69.0,100007
200900132651,300016,85.0,100016
200900132652,300021,68.0,100021
200900132653,300032,92.0,100001
200900132654,300001,71.0,100001
200900132655,300030,86.0,100030
200900132656,300014,82.0,100014
200900132657,300021,86.0,100021
200900132658,300040,92.0,100009
200900132659,300014,86.0,100014
200900132660,300007,67.0,100007
200900132661,300019,91.0,100019
200900132662,300016,50.0,100016
200900132663,300005,77.0,100005
200900132664,300016,100.0,100016
200900132665,300019,56.0,100019
200900132666,300002,64.0,100002
200900132667,300030,80.0,100030
200900132668,300002,62.0,100002
200900132669,300004,57.0,100004
200900132670,300033,90.0,100002
200900132671,300038,73.0,100007
200900132672,300004,84.0,100004
200900132673,300003,74.0,100003
200900132674,300006,96.0,100006
200900132675,300018,80.0,100018
200900132676,300022,76.0,100022
200900132677,300015,84.0,100015
200900132678,300031,83.0,100000
200900132679,300007,88.0,100007
200900132680,300034,93.0,100003
200900132681,300035,85.0,100004
200900132682,300031,67.0,100000
200900132683,300037,52.0,100006
200900132684,300009,79.0,100009
200900132685,300028,57.0,100028
200900132686,300020,88.0,100020
200900132687,300007,89.0,100007
200900132688,300007,79.0,100007
200900132689,300027,80.0,100027
200900132690,300014,55.0,100014
200900132691,300032,78.0,100001
200900131036,300024,69.0,100024
200900131037,300001,59.0,100001
200900131038,300039,51.0,100008
200900131039,300013,63.0,100013
200900131040,300014,84.0,100014
200900131041,300014,59.0,100014
200900131042,300031,64.0,100000
200900131043,300010,62.0,100010
200900131044,300034,64.0,100003
200900131045,300006,90.0,100006
200900131046,300009,83.0,100009
200900131047,300002,79.0,100002
200900131048,300019,94.0,100019
200900130214,300031,91.0,100000
200900130215,300022,59.0,100022
200900130216,300016,54.0,100016
200900130217,300029,64.0,100029
200900130218,300003,88.0,100003
200900130219,300024,85.0,100024
200900130220,300023,99.0,100023
200900130221,300012,94.0,100012
200900130222,300034,51.0,100003
200900130223,300040,80.0,100009
200900130224,300001,62.0,100001
200900130225,300036,75.0,100005
200900130226,300022,95.0,100022
200900130227,300036,96.0,100005
200900130228,300034,78.0,100003
200900130229,300013,91.0,100013
200900130230,300010,86.0,100010
200900130231,300005,71.0,100005
200900130232,300002,80.0,100002
200900130233,300026,72.0,100026
200900130234,300006,87.0,100006
200900130235,300024,95.0,100024
200900130236,300025,98.0,100025
200900130237,300006,76.0,100006
200900130238,300008,76.0,100008
200900130239,300017,64.0,100017
200900130240,300014,51.0,100014
200900130241,300011,79.0,100011
200900130242,300031,91.0,100000
200900130243,300029,53.0,100029
200900130244,300037,88.0,100006
200900130245,300032,71.0,100001
200900130246,300039,68.0,100008
200900130247,300011,79.0,100011
200900130248,300035,64.0,100004
200900130249,300037,80.0,100006
200900130250,300007,77.0,100007
200900130251,300018,74.0,100018
200900130252,300020,93.0,100020
200900130253,300031,75.0,100000
200900130254,300029,81.0,100029
200900130255,300031,59.0,100000
200900130256,300020,58.0,100020
200900130257,300037,69.0,100006
200900130258,300023,85.0,100023
200900130259,300007,52.0,100007
200900130260,300024,72.0,100024
200900130261,300027,80.0,100027
200900130262,300008,64.0,100008
200900130263,300033,70.0,100002
200900130264,300017,95.0,100017
200900130265,300022,87.0,100022
200900130266,300033,51.0,100002
200900130267,300016,51.0,100016
200900130268,300011,78.0,100011
200900130269,300037,51.0,100006
200900130270,300009,94.0,100009
200900130271,300038,50.0,100007
200900130272,300040,86.0,100009
200900130273,300011,67.0,100011
200900130274,300002,80.0,100002
200900130275,300012,68.0,100012
200900130276,300035,79.0,100004
200900130277,300025,50.0,100025
200900130278,300019,58.0,100019
200900130279,300038,64.0,100007
200900130280,300020,71.0,100020
200900130281,300016,81.0,100016
200900130282,300019,65.0,100019
200900130283,300037,86.0,100006
200900130284,300012,85.0,100012
200900130285,300020,71.0,100020
200900130286,300032,69.0,100001
200900130287,300024,64.0,100024
200900130288,300010,81.0,100010
200900130289,300019,93.0,100019
200900130290,300002,61.0,100002
200900130291,300033,93.0,100002
200900130292,300038,57.0,100007
200900130293,300020,59.0,100020
200900130294,300019,92.0,100019
200900130295,300030,99.0,100030
200900130296,300034,69.0,100003
200900130297,300029,66.0,100029
200900130298,300011,57.0,100011
200900130299,300038,53.0,100007
200900130300,300022,85.0,100022
200900130301,300025,61.0,100025
200900130302,300034,54.0,100003
200900130303,300031,63.0,100000
200900130304,300024,95.0,100024
200900130305,300033,51.0,100002
200900130306,300034,87.0,100003
200900130307,300006,93.0,100006
200900130308,300005,91.0,100005
200900130309,300031,91.0,100000
200900130310,300009,87.0,100009
200900130311,300025,53.0,100025
200900130313,300030,55.0,100030
200900130314,300036,54.0,100005
200900130315,300032,81.0,100001
200900130316,300007,58.0,100007
200900130317,300013,64.0,100013
200900130318,300005,78.0,100005
200900130319,300013,93.0,100013
200900130320,300030,63.0,100030
200900130321,300034,61.0,100003
200900130322,300019,76.0,100019
200900130323,300024,68.0,100024
200900130324,300031,84.0,100000
200900130325,300018,76.0,100018
200900130326,300035,94.0,100004
200900130327,300014,81.0,100014
200900130328,300013,87.0,100013
200900130329,300035,90.0,100004
200900130330,300020,55.0,100020
200900130331,300033,62.0,100002
200900130332,300022,52.0,100022
200900130333,300007,93.0,100007
200900130334,300031,82.0,100000
200900130335,300008,89.0,100008
200900130336,300035,95.0,100004
200900130337,300013,87.0,100013
200900130338,300011,66.0,100011
200900130339,300019,63.0,100019
200900130340,300011,80.0,100011
200900130341,300039,60.0,100008
200900130342,300033,60.0,100002
200900130343,300024,92.0,100024
200900130344,300013,63.0,100013
200900130345,300026,96.0,100026
200900130346,300026,81.0,100026
200900130347,300013,79.0,100013
200900130348,300016,65.0,100016
200900130349,300008,77.0,100008
200900130350,300024,75.0,100024
200900130351,300036,96.0,100005
200900130352,300018,56.0,100018
200900130353,300017,88.0,100017
200900130354,300015,64.0,100015
200900130355,300018,83.0,100018
200900130356,300028,53.0,100028
200900130357,300021,82.0,100021
200900130358,300002,61.0,100002
200900130359,300001,57.0,100001
200900130360,300026,84.0,100026
200900130361,300040,92.0,100009
200900130362,300003,50.0,100003
200900130363,300019,68.0,100019
200900130364,300022,51.0,100022
200900130365,300034,90.0,100003
200900130366,300022,55.0,100022
200900130367,300003,66.0,100003
200900130368,300016,98.0,100016
200900130369,300002,76.0,100002
200900130370,300033,93.0,100002
200900130371,300001,59.0,100001
200900130372,300018,72.0,100018
200900130373,300006,74.0,100006
200900130374,300038,93.0,100007
200900130375,300009,55.0,100009
200900130376,300013,77.0,100013
200900130377,300017,98.0,100017
200900130378,300030,97.0,100030
200900130379,300039,54.0,100008
200900130380,300004,57.0,100004
200900130381,300036,96.0,100005
200900130382,300020,56.0,100020
200900130383,300007,70.0,100007
200900130384,300020,98.0,100020
200900130385,300039,69.0,100008
200900130386,300028,55.0,100028
200900130387,300020,78.0,100020
200900130388,300025,60.0,100025
200900130389,300001,82.0,100001
200900130390,300021,56.0,100021
200900130391,300026,68.0,100026
200900130392,300015,79.0,100015
200900130393,300014,96.0,100014
200900130394,300024,59.0,100024
200900130395,300004,68.0,100004
200900130396,300011,56.0,100011
200900130397,300025,90.0,100025
200900130398,300028,77.0,100028
200900130399,300009,92.0,100009
200900130400,300035,80.0,100004
200900130401,300005,64.0,100005
200900130402,300018,83.0,100018
200900130403,300005,88.0,100005
200900130404,300018,65.0,100018
200900130405,300010,100.0,100010
200900130406,300029,59.0,100029
200900130407,300040,51.0,100009
200900130408,300032,58.0,100001
200900130409,300014,75.0,100014
200900130410,300014,71.0,100014
200900130411,300017,65.0,100017
200900130413,300018,80.0,100018
200900130414,300015,94.0,100015
200900130415,300035,81.0,100004
200900130416,300021,91.0,100021
200900130417,300020,53.0,100020
200900130418,300036,52.0,100005
200900130419,300013,55.0,100013
200900130420,300008,68.0,100008
200900130421,300008,98.0,100008
200900130422,300017,56.0,100017
200900130423,300001,66.0,100001
200900130424,300032,72.0,100001
200900130425,300032,92.0,100001
200900130426,300033,64.0,100002
200900130427,300020,70.0,100020
200900130428,300010,88.0,100010
200900130429,300037,93.0,100006
200900130430,300001,72.0,100001
200900130431,300007,64.0,100007
200900130432,300024,85.0,100024
200900130433,300017,72.0,100017
200900130434,300024,73.0,100024
200900130435,300038,50.0,100007
200900130436,300022,80.0,100022
200900130437,300026,66.0,100026
200900130438,300014,58.0,100014
200900130439,300028,53.0,100028
200900130440,300037,85.0,100006
200900130441,300018,65.0,100018
200900130442,300010,52.0,100010
200900130443,300005,57.0,100005
200900130444,300018,98.0,100018
200900130445,300001,62.0,100001
200900130446,300003,93.0,100003
200900130447,300026,54.0,100026
200900130448,300011,88.0,100011
200900130449,300029,93.0,100029
200900130450,300011,85.0,100011
200900130451,300011,81.0,100011
200900130452,300019,63.0,100019
200900130453,300012,64.0,100012
200900130454,300010,86.0,100010
200900130455,300036,61.0,100005
200900130456,300004,94.0,100004
200900130457,300003,54.0,100003
200900130458,300032,79.0,100001
200900130459,300028,98.0,100028
200900130460,300029,78.0,100029
200900130461,300022,98.0,100022
200900130462,300009,75.0,100009
200900130463,300019,59.0,100019
200900130464,300033,93.0,100002
200900130465,300017,62.0,100017
200900130466,300005,74.0,100005
200900130467,300012,99.0,100012
200900130468,300016,71.0,100016
200900130469,300020,66.0,100020
200900130470,300037,70.0,100006
200900130471,300038,90.0,100007
200900130472,300017,74.0,100017
200900130473,300002,67.0,100002
200900130474,300009,100.0,100009
200900130475,300004,56.0,100004
200900130476,300002,67.0,100002
200900130477,300010,51.0,100010
200900130478,300023,69.0,100023
200900130479,300013,89.0,100013
200900130480,300014,77.0,100014
200900130481,300037,80.0,100006
200900130482,300039,94.0,100008
200900130483,300040,75.0,100009
200900130484,300024,57.0,100024
200900130485,300024,68.0,100024
200900130486,300035,76.0,100004
200900130487,300022,91.0,100022
200900130488,300014,62.0,100014
200900130489,300011,72.0,100011
200900130490,300020,90.0,100020
200900130491,300030,94.0,100030
200900130492,300004,83.0,100004
200900130493,300027,83.0,100027
200900130494,300031,54.0,100000
200900130495,300011,91.0,100011
200900130496,300035,55.0,100004
200900130497,300017,84.0,100017
200900130498,300034,94.0,100003
200900130499,300013,70.0,100013
200900130500,300025,54.0,100025
200900130501,300040,53.0,100009
200900130502,300006,96.0,100006
200900130503,300023,62.0,100023
200900130504,300039,91.0,100008
200900130505,300008,56.0,100008
200900130506,300039,81.0,100008
200900130507,300013,66.0,100013
200900130508,300013,52.0,100013
200900130509,300001,61.0,100001
200900130510,300021,85.0,100021
200900130511,300020,75.0,100020
200900130513,300006,79.0,100006
200900130514,300032,66.0,100001
200900130515,300014,96.0,100014
200900130516,300018,85.0,100018
200900130517,300039,97.0,100008
200900130518,300017,56.0,100017
200900130519,300039,83.0,100008
200900130520,300017,81.0,100017
200900130521,300028,56.0,100028
200900130522,300029,58.0,100029
200900130523,300030,76.0,100030
200900130524,300007,66.0,100007
200900130525,300017,63.0,100017
200900130526,300025,73.0,100025
